animal_type,symptoms,disease_name,disease_category,recommended_medicines,Primary Intervention (First Aid),Secondary Intervention (Medical Therapy)
cat,"chronic vomiting, weight loss, hypocobalaminemia, folate deficiency, small intestinal diarrhea",Small Intestinal Disease / EPI,GI/Malabsorption,"Cobalamin 250mcg SC weekly, Folate supplementation, Prednisolone for IBD component, Pancreatic enzyme supplement",Keep the animal calm and warm; restrict movement; monitor vital signs; transport to a veterinary clinic promptly.,"Corticosteroid therapy (e.g., Prednisolone); Vitamin B supplementation. Final selection based on clinical assessment."
cat,"recurrent vomiting of hairballs, chronic constipation, hair in vomit, retching without producing hairball",Trichobezoar/Hairball,Gastrointestinal,"Laxatone petroleum gel, Lactulose 0.5ml/kg BID, Psyllium fiber, High-fiber diet, Regular grooming",Withhold food for 12 hours; ensure access to fresh water; avoid high-fat or spicy food during recovery.,"Laxative/Enema therapy (e.g., Lactulose). Final selection based on clinical assessment."
cat,"salivation, vomiting, tremors, seizures after licking lily plant or essential oils",Lily Toxicity,Toxicological/Renal,"Activated charcoal, IV fluid diuresis, Furosemide, Supportive care, Renal monitoring x 72hrs",Remove the animal from the source; do NOT induce vomiting unless advised by a vet; keep calm and transport to a clinic immediately.,"Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Diuretic therapy (e.g., Furosemide). Final selection based on clinical assessment."
cat,"vomiting, tremors, ataxia after permethrin spot-on applied (dog product on cat)",Permethrin Toxicosis,Toxicological/Neurological,"Methocarbamol 50-150mg/kg IV slowly, Diazepam, Bathing to remove product, IV fluids, Cooling if hyperthermia",Remove the animal from the source; do NOT induce vomiting unless advised by a vet; keep calm and transport to a clinic immediately.,"Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Anticonvulsant therapy (e.g., Phenobarbital); Anxiolytic/Sedative therapy (e.g., Trazodone). Final selection based on clinical assessment."
cat,"salivation, vomiting, neurological signs after exposure to xylitol, acetaminophen (paracetamol)",Paracetamol/Acetaminophen Toxicity,Toxicological,"N-acetylcysteine 140mg/kg loading IV then 70mg/kg TID x 7 doses, Ascorbic acid 30mg/kg IV, Oxygen, IV fluids, Methylene blue",Remove the animal from the source; do NOT induce vomiting unless advised by a vet; keep calm and transport to a clinic immediately.,"Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Vitamin C supplementation; Supplemental oxygen therapy. Final selection based on clinical assessment."
cat,"drooling, vomiting, ataxia, muscle tremors after eating toxic plant (Dieffenbachia, Sago Palm)",Plant Toxicity,Toxicological,"Activated charcoal, Dexamethasone 0.1mg/kg, IV fluids, Calcium gluconate if hypocalcemia, Monitoring liver function",Remove the animal from the source; do NOT induce vomiting unless advised by a vet; keep calm and transport to a clinic immediately.,"Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Corticosteroid therapy (e.g., Prednisolone); Electrolyte correction therapy (based on blood panel). Final selection based on clinical assessment."
cat,"subcutaneous lumps that grow rapidly, ulcerate, multiple sites, post-vaccination site swelling",Feline Injection Site Sarcoma,Neoplastic,"Wide surgical excision (3cm margins), Radiation therapy, Doxorubicin-based chemotherapy, Carboplatin","Keep the animal calm and comfortable; minimise physical exertion; monitor for pain signs (whimpering, reluctance to move).",Surgical intervention (based on clinical assessment); Chemotherapy protocol (based on oncology assessment); Radiation therapy (based on oncology assessment). Final selection based on clinical assessment.
cat,"hypersalivation, seizures, behavioral changes, restlessness, vocalization at night in older cat",Hypertensive Encephalopathy / Brain Tumor,Neoplastic/Cardiovascular,"Amlodipine 0.625mg SID, Mannitol 0.5g/kg IV, Dexamethasone 0.1mg/kg, Anticonvulsant therapy, CT/MRI for diagnosis","Keep the animal calm and comfortable; minimise physical exertion; monitor for pain signs (whimpering, reluctance to move).","Corticosteroid therapy (e.g., Prednisolone); Cardiovascular therapy (e.g., Pimobendan, Enalapril). Final selection based on clinical assessment."
cat,"miliary dermatitis, multiple crusty papules along back, intense itching, hair loss, flea presence",Miliary Dermatitis,Allergic/Parasitic,"Prednisolone 1mg/kg SID, Flea control (Revolution Plus), Apoquel, Hypoallergenic diet trial, Omega-3 supplementation",Remove visible external parasites carefully (use gloves); check the whole body; avoid contact with wild animals.,"Corticosteroid therapy (e.g., Prednisolone); Ectoparasitic treatment (e.g., Selamectin, Fipronil). Final selection based on clinical assessment."
cat,"testicular mass in cryptorchid cat, abdominal swelling, hormonal signs (feminization)",Testicular Tumor,Neoplastic,"Orchidectomy (including retained testicle), Prednisolone if Sertoli cell, Chemotherapy if metastatic, Post-op pain management","Keep the animal calm and comfortable; minimise physical exertion; monitor for pain signs (whimpering, reluctance to move).","Corticosteroid therapy (e.g., Prednisolone); Chemotherapy protocol (based on oncology assessment). Final selection based on clinical assessment."
cat,"corneal sequestrum, brown-black lesion on cornea, eye discharge, squinting, corneal ulcer",Corneal Sequestrum,Ophthalmological,"Keratectomy surgery, Cyclosporine 0.2% eye drops, Antibiotic eye drops (Tobramycin), Pain management",Keep the animal calm and warm; restrict movement; monitor vital signs; transport to a veterinary clinic promptly.,Broad-spectrum antibiotic therapy (based on culture and sensitivity); Surgical intervention (based on clinical assessment); Ophthalmic antibiotic/anti-inflammatory drops. Final selection based on clinical assessment.
cat,"sudden blindness, fixed dilated pupils, retinal detachment visible, high blood pressure",Hypertensive Retinopathy,Ophthalmological/Cardiovascular,"Amlodipine 0.625-1.25mg SID emergency, Telmisartan, Treat underlying disease, Steroid eye drops for inflammation",Keep the animal calm and warm; restrict movement; monitor vital signs; transport to a veterinary clinic promptly.,"Cardiovascular therapy (e.g., Pimobendan, Enalapril); Ophthalmic antibiotic/anti-inflammatory drops. Final selection based on clinical assessment."
cat,"anterior uveitis, cloudy aqueous humor, iris color change, low IOP, photophobia, tearing",Uveitis (Feline),Ophthalmological,"Prednisolone acetate 1% eye drops QID, Atropine 1% drops BID, Systemic Prednisolone, Investigate FIV/FeLV/Toxoplasma",,
cat,"sudden onset head tilt, rolling, falling to one side, nystagmus, nausea, no other signs in old cat",Idiopathic Vestibular Disease,Neurological,"Meclizine 12.5mg SID, Maropitant anti-nausea, Diazepam 0.2mg/kg, Supportive nursing, Self-limiting 1-2 weeks",Prevent the animal from injuring itself; keep the environment quiet and dim; do not restrain forcefully during a seizure.,"Antiemetic therapy (e.g., Maropitant, Ondansetron); Anticonvulsant therapy (e.g., Phenobarbital); Anxiolytic/Sedative therapy (e.g., Trazodone). Final selection based on clinical assessment."
cat,"progressive rear limb weakness, ataxia, loss of bladder control, young cat, spinal disease",Spinal Lymphoma,Neoplastic/Neurological,"CHOP chemotherapy, Prednisolone 2mg/kg SID, Radiation therapy, Nursing care for bladder expression","Keep the animal calm and comfortable; minimise physical exertion; monitor for pain signs (whimpering, reluctance to move).","Corticosteroid therapy (e.g., Prednisolone); Chemotherapy protocol (based on oncology assessment); Radiation therapy (based on oncology assessment). Final selection based on clinical assessment."
cat,"seizures in cat, post-ictal confusion, hypersalivation, paddling, older cat, focal or generalized",Feline Epilepsy/Seizures,Neurological,"Phenobarbital 2mg/kg BID, Levetiracetam 20mg/kg TID, Rule out toxin/tumor/metabolic cause, MRI brain",Clear surroundings of hard objects; do not restrain or put anything in the mouth; time the seizure; keep quiet after.,"Anticonvulsant therapy (e.g., Phenobarbital). Final selection based on clinical assessment."
cat,"symmetrical hair loss on flanks, belly, inner thighs, no lesions, excessive grooming, stress-related",Psychogenic Alopecia,Behavioral/Dermatological,"Fluoxetine 1mg/kg SID, Clomipramine 0.5mg/kg SID, Environmental enrichment, Feliway, Rule out underlying allergy",Prevent licking or scratching with a cone collar; keep the area clean and dry; trim fur around lesions if accessible.,Iron supplementation therapy. Final selection based on clinical assessment.
cat,"crusty nodules on face and feet, sporotrichosis from soil exposure, outdoor cat, zoonotic risk",Sporotrichosis,Fungal,"Itraconazole 5-10mg/kg SID long-term, Supersaturated potassium iodide, Terbinafine, Strict hygiene (zoonotic!)",Keep affected skin area clean and dry; prevent scratching; wear gloves when handling; wash hands thoroughly after contact.,"Antifungal therapy (e.g., Fluconazole); Electrolyte correction therapy (based on blood panel). Final selection based on clinical assessment."
cat,"skin nodules containing eosinophils, linear granuloma on lip or tongue, young female cat",Eosinophilic Granuloma Complex,Immune-mediated,"Prednisolone 2mg/kg SID tapering, Cyclosporine 7mg/kg SID, Dexamethasone injection, Antiparasitic if flea-associated",Keep the animal calm and warm; restrict movement; monitor vital signs; transport to a veterinary clinic promptly.,"Corticosteroid therapy (e.g., Prednisolone); Ectoparasitic treatment (e.g., Selamectin, Fipronil). Final selection based on clinical assessment."
dog,"sudden blindness after head trauma, pupils fixed dilated, no menace response, normal fundus exam",Traumatic Optic Neuropathy,Neurological/Ophthalmological,"Methylprednisolone sodium succinate 30mg/kg IV once, Mannitol 0.5g/kg, Dexamethasone 0.1mg/kg, Nursing care",Prevent the animal from injuring itself; keep the environment quiet and dim; do not restrain forcefully during a seizure.,"Corticosteroid therapy (e.g., Prednisolone). Final selection based on clinical assessment."
dog,"bleeding from multiple sites, bruising easily, blood in urine and stool, clotting time prolonged",Coagulopathy/Rodenticide Poisoning,Toxicological/Hematological,"Vitamin K1 2.5mg/kg BID x 4 weeks (for anticoagulant rodenticide), Fresh frozen plasma, Whole blood transfusion",Do NOT induce vomiting unless directed by a vet; identify the toxin; keep the animal calm; transport immediately.,Vitamin K therapy; Blood product transfusion therapy. Final selection based on clinical assessment.
cat,"pale yellow urine, clay-colored feces, deep jaundice, elevated bilirubin, bile duct obstruction",Cholangiohepatitis / Bile Duct Obstruction,Hepatic,"Ursodiol 10-15mg/kg SID, SAMe, Surgery if obstruction, Vitamin K1 injection, Amoxicillin-Clavulanate",Keep the animal calm and warm; restrict movement; monitor vital signs; transport to a veterinary clinic promptly.,"Broad-spectrum antibiotic therapy (e.g., Amoxicillin-Clavulanate); Vitamin K therapy; Surgical intervention (based on clinical assessment). Final selection based on clinical assessment."
dog,"bloody nasal discharge, pale gums, pinpoint skin hemorrhages (petechiae), thrombocytopenia on CBC",Immune-Mediated Thrombocytopenia (ITP),Hematological/Immune,"Prednisolone 2mg/kg SID, Vincristine 0.02mg/kg IV once, Azathioprine 2mg/kg SID, Human IV immunoglobulin",,
cat,"weight loss, polyphagia, hyperactivity in old cat PLUS blood in urine, straining",Hyperthyroidism with Concurrent FLUTD,Endocrine/Urological,"Methimazole 1.25-2.5mg BID, Prazosin 0.25mg BID, Urinary diet, Stress reduction, Monitor kidney function",Monitor for signs of weakness or collapse; ensure food intake is consistent; keep a diary of symptoms for the vet.,"Thyroid hormone therapy (e.g., Methimazole). Final selection based on clinical assessment."
dog,"orange-yellow skin and eyes, dark urine, abdominal pain, history of raw fish diet, salmon exposure",Salmon Poisoning Disease,Bacterial (Neorickettsia),"Doxycycline 10mg/kg BID x 3 weeks, Praziquantel for fluke, IV fluids, Antiemetics, Supportive care",Do NOT induce vomiting unless directed by a vet; identify the toxin; keep the animal calm; transport immediately.,"Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Tetracycline antibiotic therapy (e.g., Doxycycline); Antiparasitic therapy (e.g., Ivermectin, Fenbendazole); Antiemetic therapy. Final selection based on clinical assessment."
dog,"inability to blink, dry eye with mucoid discharge, corneal pigmentation, reduced Schirmer tear test",Keratoconjunctivitis Sicca (Dry Eye),Ophthalmological/Immune,"Cyclosporine 0.2% (Optimmune) BID, Tacrolimus 0.02% drops BID, Artificial tears, Pilocarpine 2% for stimulation",,
cat,"chronic regurgitation in kitten, esophageal dilation on X-ray, frequent vomiting, poor growth",Megaesophagus (Cat),GI/Neurological,"Elevated feeding, Small frequent meals, Cisapride 2.5mg/cat TID, Treat underlying myasthenia or dysautonomia",,
dog,"severe facial swelling, salivary gland enlargement, difficulty swallowing, drooling, Labrador retriever",Sialocele/Salivary Mucocele,Surgical/Glandular,"Surgical excision of mandibular/sublingual gland, Drain if fluctuant, Post-op Amoxicillin, Soft diet",Keep the animal calm and warm; restrict movement; monitor vital signs; transport to a veterinary clinic promptly.,"Broad-spectrum antibiotic therapy (e.g., Amoxicillin-Clavulanate); Surgical intervention (based on clinical assessment). Final selection based on clinical assessment."
cat,"progressive muscle wasting, neck ventroflexion (head hanging down), weakness, hypokalemia on bloodwork",Hypokalemic Myopathy,Metabolic/Muscular,"Potassium gluconate oral supplementation, Potassium chloride IV if severe, Treat underlying CKD or GI loss, Renal diet",Keep the animal warm and still; offer small amounts of water; monitor breathing rate and gum colour.,Electrolyte correction therapy (based on blood panel). Final selection based on clinical assessment.
dog,"severely depressed puppy, cannot stand, foul explosive bloody diarrhea, continuous vomiting, rapid dehydration",Parvovirus,Viral,"Aggressive IV colloid+crystalloid, Parvovirus antiserum, Maropitant 1mg/kg, Enrofloxacin, Granulocyte colony stimulating factor",Isolate immediately; keep warm with blankets; offer small amounts of electrolyte water (no food); prevent contact with other dogs.,"Antiserum therapy; Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Antimicrobial therapy (e.g., Metronidazole); Cephalosporin antibiotic therapy (e.g., Cephalexin). Final selection based on clinical assessment."
dog,"parvovirus puppy that survived acute phase but now has low white cell count, secondary bacterial pneumonia",Parvovirus (Recovering),Viral,"Continue IV antibiotics (Amoxicillin-Clavulanate), Granulocyte colony stimulating factor, High-calorie nutrition, Probiotics",,
dog,"multiple dogs coughing in same household after dog show, spreading rapidly, mild fever in some dogs",Kennel Cough (Outbreak),Bacterial/Viral,"Isolate affected dogs, Doxycycline all affected dogs, Bordetella intranasal vaccine, Supportive care, Rest",,
dog,"kennel cough progressing to pneumonia, increased respiratory effort, crackles on auscultation, fever 40.5C",Kennel Cough with Secondary Pneumonia,Bacterial,"Enrofloxacin 5mg/kg SID + Doxycycline 10mg/kg BID, Nebulization, Oxygen, Coupage, IV fluids",Clean any visible wounds with mild antiseptic; isolate from other animals; prevent the animal from licking affected areas.,"Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Fluoroquinolone antibiotic therapy (e.g., Enrofloxacin); Tetracycline antibiotic therapy (e.g., Doxycycline); Bronchodilator/Nebulization therapy; Supplemental oxygen therapy. Final selection based on clinical assessment."
dog,"old dog encephalitis - seizures years after distemper infection, progressive neurological deterioration",Chronic Distemper Encephalitis,Viral/Neurological,"Phenobarbital 2mg/kg BID, Prednisolone immunosuppression, Supportive care, Ribavirin experimental",Isolate the animal; keep warm and calm; offer small amounts of water to prevent dehydration; do not force-feed.,"Corticosteroid therapy (e.g., Prednisolone); Anticonvulsant therapy (e.g., Phenobarbital). Final selection based on clinical assessment."
dog,"heartworm-positive pregnant dog, cannot use melarsomine, prevention only approach",Heartworm in Pregnancy,Parasitic,"Doxycycline 10mg/kg BID, Monthly ivermectin prevention, Restrict exercise, Treat after whelping with Melarsomine",Remove visible external parasites carefully (use gloves); check the whole body; avoid contact with wild animals.,"Tetracycline antibiotic therapy (e.g., Doxycycline); Antiparasitic therapy (e.g., Ivermectin, Fenbendazole). Final selection based on clinical assessment."
dog,"severe flea infestation in puppy causing flea-bite anemia, lethargic pale puppy, visible fleas crawling",Flea-Induced Anemia,Parasitic/Hematological,"Capstar immediate, Iron dextran 10-20mg/kg IM, Blood transfusion if critical, High-iron diet, Frontline Plus",Remove visible external parasites carefully (use gloves); check the whole body; avoid contact with wild animals.,"Iron supplementation therapy; Blood product transfusion therapy; Ectoparasitic treatment (e.g., Selamectin, Fipronil). Final selection based on clinical assessment."
dog,"ringworm in immunosuppressed dog on long-term steroids, not responding to standard treatment",Refractory Ringworm,Fungal,"Voriconazole 4mg/kg BID, Reduce immunosuppression if possible, Aggressive lime sulfur dips, Culture and sensitivity",Keep affected skin area clean and dry; prevent scratching; wear gloves when handling; wash hands thoroughly after contact.,"Pharmacological therapy as determined by veterinary assessment; adjust based on body weight, severity, and diagnostic findings."
dog,"large joint swelling (knee) in Labrador 6 weeks after tick bite, positive Lyme SNAP test, limping badly",Lyme Arthritis,Bacterial,"Doxycycline 10mg/kg BID x 4 weeks, Meloxicam 0.1mg/kg, Joint tap for analysis, Intra-articular corticosteroid",Clean any visible wounds with mild antiseptic; isolate from other animals; prevent the animal from licking affected areas.,"Tetracycline antibiotic therapy (e.g., Doxycycline); NSAID analgesic therapy (e.g., Meloxicam, Carprofen). Final selection based on clinical assessment."
dog,"chronic recurring ear infections in cocker spaniel, resistant Pseudomonas on culture, stenotic ear canal",Pseudomonas Otitis Externa,Bacterial,"Culture-guided: Marbofloxacin ear drops, TRIS-EDTA, Oral Marbofloxacin, Surgical TECA-LBO if end-stage",Clean any visible wounds with mild antiseptic; isolate from other animals; prevent the animal from licking affected areas.,Surgical intervention (based on clinical assessment). Final selection based on clinical assessment.
dog,"suspected food allergy in German Shepherd, chronic diarrhea and skin, 8-week hydrolyzed diet trial needed",Food Allergy (Elimination Trial),Allergic,"Royal Canin Hydrolyzed Protein or Anallergenic diet x 8 weeks, No treats or flavored medications, Reintroduction challenge",,
dog,"environmental allergy confirmed by intradermal testing, immunotherapy injections started, ongoing management",Atopic Dermatitis on Immunotherapy,Allergic,"Allergen-specific immunotherapy injections, Apoquel 0.4mg/kg BID for flare-ups, Cytopoint PRN, Omega-3 fatty acids",Remove suspected allergen from environment; prevent scratching or rubbing; apply a cool (not cold) compress to swollen areas.,"Pharmacological therapy as determined by veterinary assessment; adjust based on body weight, severity, and diagnostic findings."
dog,"acutely painful mouth, fractured carnassial tooth with pulp exposure, refusing all food, pawing at face",Carnassial Tooth Fracture,Dental,"Surgical extraction or root canal, Amoxicillin 22mg/kg BID, Meloxicam 0.1mg/kg SID, Soft diet, Dental X-ray",Immobilise with a padded splint or rolled towel; do not try to reset; keep the animal still during transport.,"Broad-spectrum antibiotic therapy (e.g., Amoxicillin-Clavulanate); NSAID analgesic therapy (e.g., Meloxicam, Carprofen); Surgical intervention (based on clinical assessment). Final selection based on clinical assessment."
dog,"diarrhea in dog returning from Asia, oocysts on fecal flotation, negative standard parasite panel",Cryptosporidiosis,Parasitic (Protozoan),"Nitazoxanide 25mg/kg BID, Tylosin 20mg/kg BID (symptomatic), Paromomycin 150mg/kg SID, Supportive hydration",Remove visible external parasites carefully (use gloves); check the whole body; avoid contact with wild animals.,"Pharmacological therapy as determined by veterinary assessment; adjust based on body weight, severity, and diagnostic findings."
dog,"colic, weight loss, peritoneal fluid, lungworms on bronchoalveolar lavage, coughing dog outdoors",Lungworm (Angiostrongylus),Parasitic/Respiratory,"Fenbendazole 50mg/kg SID x 7 days, Milbemax, Prednisolone 0.5mg/kg (inflammatory), Repeat treatment at 3 weeks",,
dog,"severe osteoarthritis in both hips 10-year old Labrador, failed NSAIDs, struggling to walk",Refractory Osteoarthritis,Orthopedic,"Librela (Bedinvetmab) 1mg/kg SC monthly (anti-NGF), Gabapentin 10mg/kg TID, Palmitoylethanolamide supplement, Hydrotherapy",Restrict movement; use a makeshift stretcher for transport; do not manipulate the limb.,"Neuropathic pain therapy (e.g., Gabapentin). Final selection based on clinical assessment."
dog,newly diagnosed diabetes in intact female dog during diestrus (progesterone-induced),Diestrus/Transient Diabetes,Endocrine,"Spay immediately (removes progesterone source), Insulin if needed short-term, Monitor - may resolve after spay","If conscious, offer a small amount of food or glucose gel on gums; monitor closely; contact vet urgently.",Insulin therapy (based on blood glucose monitoring). Final selection based on clinical assessment.
dog,"prostatic abscess in intact male, fever, straining, bloody urethral discharge, pain on rectal exam",Prostatic Abscess,Bacterial,"Enrofloxacin 5mg/kg SID + Metronidazole 25mg/kg BID, Ultrasound-guided drainage, Castration, Amoxicillin follow-up",Clean any visible wounds with mild antiseptic; isolate from other animals; prevent the animal from licking affected areas.,"Antimicrobial therapy (e.g., Metronidazole); Fluoroquinolone antibiotic therapy (e.g., Enrofloxacin); Broad-spectrum antibiotic therapy (e.g., Amoxicillin-Clavulanate). Final selection based on clinical assessment."
dog,"non-regenerative anemia, normal bone marrow, anemia of chronic inflammatory disease, underlying IBD",Anemia of Chronic Disease,Hematological,"Treat underlying disease, Iron supplementation cautiously, Darbepoetin if severe, Ensure adequate nutrition",Keep the animal calm and warm; restrict movement; monitor vital signs; transport to a veterinary clinic promptly.,Iron supplementation therapy; Nutritional support therapy. Final selection based on clinical assessment.
dog,"puppy with aspiration after tube feeding, acute respiratory distress, fever, lung consolidation",Iatrogenic Aspiration Pneumonia,Respiratory,"Enrofloxacin 5mg/kg SID, Metronidazole 15mg/kg BID, Oxygen, Nebulization, Stop tube feeding until resolved",Keep the animal in fresh air; minimise excitement; keep upright if breathing is laboured; do not muzzle.,"Antimicrobial therapy (e.g., Metronidazole); Fluoroquinolone antibiotic therapy (e.g., Enrofloxacin); Bronchodilator/Nebulization therapy; Supplemental oxygen therapy; Nutritional support therapy. Final selection based on clinical assessment."
dog,"sarcoptic mange refractory to ivermectin, collie-breed dog (MDR1 mutation), needing alternative treatment",Sarcoptic Mange MDR1 Dogs,Parasitic/Skin,"Lime sulfur dips weekly, Milbemycin oxime 2mg/kg weekly (safer for collies), Selamectin, Avoid ivermectin in collies",Remove visible external parasites carefully (use gloves); check the whole body; avoid contact with wild animals.,"Antiparasitic therapy (e.g., Ivermectin, Fenbendazole). Final selection based on clinical assessment."
dog,"Labrador suddenly unable to walk, shaking head, vestibular syndrome or FCE, no pain on palpation",Fibrocartilaginous Embolism (FCE),Neurological,"Physiotherapy immediately, Supportive care, Bladder expression, Methylprednisolone controversial, Hydrotherapy",,
dog,"grand mal seizure cluster (3+ seizures in 24hr), refractory to diazepam, status epilepticus",Status Epilepticus,Neurological/Emergency,"Propofol 4-6mg/kg IV slowly, Levetiracetam 60mg/kg IV loading, Phenobarbital IV, Continuous infusion midazolam",Prevent the animal from injuring itself; keep the environment quiet and dim; do not restrain forcefully during a seizure.,"Anticonvulsant therapy (e.g., Phenobarbital). Final selection based on clinical assessment."
dog,"lupoid onychodystrophy, nail crumbling and loss, multiple nails affected, no skin disease, limping",Symmetrical Lupoid Onychodystrophy (SLO),Immune-mediated,"Omega-3 fatty acids high dose, Niacinamide 250mg + Doxycycline 5mg/kg BID, Vitamin E, Pentoxifylline 25mg/kg BID",,
dog,"calcinosis cutis - calcium deposits in skin, rock-hard skin plaques, pain, Cushing's disease underlying",Calcinosis Cutis,Metabolic/Skin,"Treat underlying Cushing's (Trilostane), DMSO gel topical, Minocycline 5mg/kg BID, Zinc gluconate",Keep the animal warm and still; offer small amounts of water; monitor breathing rate and gum colour.,"Pharmacological therapy as determined by veterinary assessment; adjust based on body weight, severity, and diagnostic findings."
dog,"tibial plateau leveling osteotomy post-op complication: infection at implant site, swelling, discharge",Post-TPLO Infection,Orthopedic/Bacterial,"Implant removal if necessary, Clindamycin 11mg/kg BID, Culture and sensitivity, Wound debridement, Amoxicillin-Clavulanate",Clean any visible wounds with mild antiseptic; isolate from other animals; prevent the animal from licking affected areas.,"Broad-spectrum antibiotic therapy (e.g., Amoxicillin-Clavulanate). Final selection based on clinical assessment."
dog,"osteochondrosis dissecans (OCD) shoulder, forelimb lameness in young large breed, joint mouse on X-ray",Osteochondrosis Dissecans,Orthopedic,"Surgical fragment removal (arthroscopy), Carprofen 2.2mg/kg BID, Adequan injections, Physiotherapy, Omega-3",Restrict movement; use a makeshift stretcher for transport; do not manipulate the limb.,"NSAID analgesic therapy (e.g., Meloxicam, Carprofen); Surgical intervention (based on clinical assessment). Final selection based on clinical assessment."
dog,"heart murmur grade 5/6, mitral valve disease, left-sided heart failure, cough, exercise intolerance, small breed",Mitral Valve Disease / CHF,Cardiac,"Pimobendan (Vetmedin) 0.25mg/kg BID, Furosemide 2mg/kg BID, Benazepril 0.5mg/kg SID, Spironolactone, Low-sodium diet",Keep the animal calm and restrict movement; avoid stress; monitor breathing and gum colour; transport in a carrier.,"Diuretic therapy (e.g., Furosemide); Cardiovascular therapy (e.g., Pimobendan, Enalapril); Iron supplementation therapy. Final selection based on clinical assessment."
dog,"dilated cardiomyopathy in Doberman, syncope, arrhythmia, severe systolic dysfunction, weak pulse",Dilated Cardiomyopathy (DCM),Cardiac,"Pimobendan 0.25mg/kg BID, Sotalol 1.5mg/kg BID for arrhythmia, Mexiletine 5mg/kg TID, Furosemide, Taurine supplementation",,
dog,"vaginal discharge, fever, lethargy, enlarged uterus, intact female dog, polyuria, vomiting",Pyometra,Reproductive/Bacterial,"Emergency ovariohysterectomy (spay), IV fluids, Amoxicillin-Clavulanate, Enrofloxacin, Aglepristone if open pyometra",Keep the animal calm; do not press on the abdomen; restrict food and water; transport to a vet urgently.,"Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Fluoroquinolone antibiotic therapy (e.g., Enrofloxacin); Broad-spectrum antibiotic therapy (e.g., Amoxicillin-Clavulanate). Final selection based on clinical assessment."
dog,"intact male dog, one testicle not descended, feminizing signs, other dogs mounting him",Cryptorchidism with Sertoli Cell Tumor,Neoplastic/Reproductive,"Surgical removal of both testicles including retained one, Estradiol monitoring, Chemotherapy if metastatic","Keep the animal calm and comfortable; minimise physical exertion; monitor for pain signs (whimpering, reluctance to move).",Surgical intervention (based on clinical assessment); Chemotherapy protocol (based on oncology assessment). Final selection based on clinical assessment.
dog,"vomiting, tremors, seizures after eating sugarless gum or xylitol-containing product",Xylitol Toxicity,Toxicological,"IV dextrose bolus 1ml/kg 50% dextrose, Dextrose CRI, Liver enzymes monitoring, N-acetylcysteine for liver protection",Remove the animal from the source; do NOT induce vomiting unless advised by a vet; keep calm and transport to a clinic immediately.,"Pharmacological therapy as determined by veterinary assessment; adjust based on body weight, severity, and diagnostic findings."
dog,"weakness, vomiting, dark red urine, methemoglobinemia after eating onions or garlic",Allium Toxicity (Onion/Garlic),Toxicological/Hematological,"IV fluids, Blood transfusion if severe hemolysis, N-acetylcysteine, Vitamin C, Methylene blue 1mg/kg IV if methemoglobinemia",,
dog,"acute kidney failure after eating grapes or raisins, vomiting, anuria, high creatinine",Grape/Raisin Toxicity,Toxicological/Renal,"Aggressive IV fluids, Furosemide, Dopamine CRI for renal perfusion, Hemodialysis if anuric, Monitor electrolytes",Remove the animal from the source; do NOT induce vomiting unless advised by a vet; keep calm and transport to a clinic immediately.,"Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Diuretic therapy (e.g., Furosemide); Electrolyte correction therapy (based on blood panel). Final selection based on clinical assessment."
dog,"high fever, orange-yellow jaundice, bloody diarrhea, vomiting, muscle pain, history of swimming",Leptospirosis,Bacterial (Zoonotic),"Penicillin G 25,000 IU/kg QID x 2 weeks (acute), then Doxycycline 10mg/kg BID x 4 weeks, IV fluids, Kidney monitoring",Clean any visible wounds with mild antiseptic; isolate from other animals; prevent the animal from licking affected areas.,"Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Tetracycline antibiotic therapy (e.g., Doxycycline). Final selection based on clinical assessment."
dog,"fever, lymphadenopathy, splenomegaly, lameness, uveitis, dog from Mediterranean/Middle East",Leishmaniasis,Parasitic (Protozoan),"Meglumine antimoniate 100mg/kg SID x 28 days, Allopurinol 10mg/kg BID long-term, Miltefosine, Domperidone immunostimulant",Remove visible external parasites carefully (use gloves); check the whole body; avoid contact with wild animals.,"Pharmacological therapy as determined by veterinary assessment; adjust based on body weight, severity, and diagnostic findings."
dog,"fever, lymphadenopathy, non-regenerative anemia, thrombocytopenia, positive ehrlichia serology",Ehrlichiosis,Bacterial (Tick-borne),"Doxycycline 10mg/kg BID x 4 weeks, Prednisolone for immune thrombocytopenia, Supportive care, CBC monitoring",Clean any visible wounds with mild antiseptic; isolate from other animals; prevent the animal from licking affected areas.,"Tetracycline antibiotic therapy (e.g., Doxycycline); Corticosteroid therapy (e.g., Prednisolone). Final selection based on clinical assessment."
